Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7
88	'info', 'video4.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video4.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
89	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR135S17CCL1288_111,0.000,0.000)	pic(squareR180S17GCL1288_111,0.000,0.000)	pic(squareR90S17GCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
90	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR225S17GCL1288_111,0.000,0.000)	pic(squareR180S17CCL1288_111,0.000,0.000)	pic(squareR225S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
91	'info', 'video4.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video4.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
92	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR45S17GCL1288_111,0.000,0.000)	pic(squareR135S17GCL1288_111,0.000,0.000)	pic(squareR180S17GCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
93	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR135S17CCL1288_111,0.000,0.000)	pic(squareR225S17GCL1288_111,0.000,0.000)	pic(squareR135S17GCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
94	'info', 'video_allen_2.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_2.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
95	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR90S17CCL1288_111,0.000,0.000)	pic(squareR90S17GCL1288_111,0.000,0.000)	pic(squareR270S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
96	'info', 'video_allen_3.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_3.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
97	'info', 'video5.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video5.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
